# Region = CEP
index  ra  dec  j  h  k  ch1  ch2  ch3  ch4  m24  uj  uh  uk  uch1  uch2  uch3  uch4  um24  ak  class
159947  343.33642  62.315161  -100.000  -100.000  14.5960  11.5340  9.99859  8.93458  8.00117  3.47539  10.0000  10.0000  0.0980000  0.00515915  0.00275907  0.00371429  0.00677471  0.0242881  0.00000  1
163003  343.37169  62.324310  -100.000  -100.000  -100.000  12.4611  11.6945  10.7887  9.92051  -100.000  10.0000  10.0000  10.0000  0.0106944  0.0112534  0.0201071  0.0307472  10.0000  0.00000  1
170435  342.93492  62.349091  -100.000  -100.000  -100.000  16.0834  14.1240  12.3671  10.8297  7.29845  10.0000  10.0000  10.0000  0.0560480  0.0181665  0.0341154  0.0177076  0.0522266  0.00000  1
174424  343.31136  62.359495  -100.000  -100.000  -100.000  14.1330  13.0048  12.2442  10.8385  6.25222  10.0000  10.0000  10.0000  0.0412790  0.0204748  0.0766053  0.113981  0.109065  0.00000  1
174864  345.59217  62.327852  -100.000  -100.000  -100.000  14.5767  13.6749  12.5146  11.4546  8.28492  10.0000  10.0000  10.0000  0.0191614  0.0128244  0.0203591  0.0197316  0.0490054  0.00000  1
179028  346.59758  62.314550  -100.000  -100.000  -100.000  13.6215  12.8455  11.9848  10.9414  7.06369  10.0000  10.0000  10.0000  0.00799675  0.00625508  0.0191114  0.0315907  0.0349337  0.00000  1
179223  344.39725  62.363404  -100.000  -100.000  -100.000  13.7824  12.7276  11.7494  10.7948  7.70290  10.0000  10.0000  10.0000  0.0174319  0.00918258  0.0166585  0.0274624  0.0445426  0.00000  1
181419  346.04968  62.337181  -100.000  -100.000  -100.000  14.7870  13.8311  12.7342  11.4265  -100.000  10.0000  10.0000  10.0000  0.0298559  0.0148533  0.0542110  0.105931  10.0000  0.00000  1
183008  343.28129  62.386472  -100.000  -100.000  -100.000  13.9917  12.9028  12.1526  11.3077  -100.000  10.0000  10.0000  10.0000  0.0287677  0.0127922  0.0460952  0.101636  10.0000  0.00000  1
186094  349.21379  62.232719  -100.000  -100.000  -100.000  16.5986  14.9087  13.3666  11.9529  8.99512  10.0000  10.0000  10.0000  0.0883374  0.0283440  0.0590775  0.0545062  0.0772118  0.00000  1
186542  344.16078  62.388767  -100.000  -100.000  -100.000  14.3527  13.4232  12.4818  11.3875  7.33228  10.0000  10.0000  10.0000  0.0178896  0.0102512  0.0422029  0.0703433  0.0404706  0.00000  1
198243  345.68833  62.397718  -100.000  15.7080  13.6230  10.6672  9.26189  8.14424  7.08694  3.05448  10.0000  0.153000  0.0500000  0.00374431  0.00338254  0.00208640  0.00256944  0.00241764  0.206202  1
200951  346.67447  62.379556  -100.000  -100.000  -100.000  15.5683  14.2592  12.9470  11.5724  7.06697  10.0000  10.0000  10.0000  0.0343706  0.0153106  0.0352616  0.0440116  0.0483882  0.00000  1
202369  343.42706  62.444962  -100.000  -100.000  -100.000  13.6209  12.7463  11.9150  10.8027  7.25929  10.0000  10.0000  10.0000  0.0116400  0.00751538  0.0280678  0.0420823  0.0372783  0.00000  1
202945  345.49781  62.416666  -100.000  -100.000  -100.000  13.6022  12.5107  11.6232  10.5899  6.91032  10.0000  10.0000  10.0000  0.00751781  0.00581434  0.0150713  0.0182892  0.0403247  0.00000  1
212326  345.20948  62.451331  -100.000  -100.000  -100.000  14.6217  13.5472  12.5289  11.4623  -100.000  10.0000  10.0000  10.0000  0.0231501  0.0111754  0.0362507  0.0490969  10.0000  0.00000  1
212873  344.95728  62.457798  -100.000  -100.000  -100.000  14.1170  13.1399  12.1908  11.2339  6.90668  10.0000  10.0000  10.0000  0.0137275  0.00819318  0.0282914  0.0472502  0.0587169  0.00000  1
213043  343.09527  62.479525  -100.000  -100.000  -100.000  14.4050  13.3334  12.4829  11.2979  6.30116  10.0000  10.0000  10.0000  0.0237574  0.0108300  0.0562884  0.107991  0.116983  0.00000  1
213193  343.42363  62.478224  -100.000  -100.000  -100.000  12.7516  11.5345  10.5637  9.77102  5.86632  10.0000  10.0000  10.0000  0.00676657  0.00534602  0.00694642  0.00436573  0.0239600  0.00000  1
213442  343.41512  62.478930  -100.000  -100.000  -100.000  13.9896  13.1736  12.3954  11.5633  -100.000  10.0000  10.0000  10.0000  0.0177060  0.0150727  0.0334269  0.0402506  10.0000  0.00000  1
213593  343.40954  62.479527  -100.000  -100.000  -100.000  14.1148  13.1936  12.3874  11.6701  7.58518  10.0000  10.0000  10.0000  0.0133523  0.0112150  0.0290841  0.0420926  0.0649306  0.00000  1
214998  348.66228  62.348032  -100.000  -100.000  -100.000  13.9864  12.0324  11.0288  10.8566  5.18439  10.0000  10.0000  10.0000  0.0307838  0.0109554  0.0244617  0.0663314  0.00778394  0.00000  1
217088  348.20788  62.373978  -100.000  -100.000  -100.000  12.7458  11.1260  9.97974  9.33322  -100.000  10.0000  10.0000  10.0000  0.00778706  0.00492845  0.00526712  0.00769771  10.0000  0.00000  1
217165  348.21591  62.373971  -100.000  -100.000  14.8550  11.7821  10.5247  9.57706  8.48834  3.82306  10.0000  10.0000  0.130000  0.00382658  0.00345921  0.00468649  0.00544676  0.0198100  0.00000  1
218802  346.27449  62.445912  -100.000  -100.000  -100.000  14.6632  13.1612  12.0342  11.0397  5.68963  10.0000  10.0000  10.0000  0.0225013  0.00906342  0.0309985  0.0523051  0.0250590  0.00000  1
219858  344.31771  62.489616  16.0090  -100.000  14.0640  12.3424  11.4833  10.6845  9.65391  5.31797  0.0970000  10.0000  0.0600000  0.00593177  0.00594978  0.00777618  0.00946435  0.0231964  0.00000  1
